country,league,match_season,team,game_played,points,won,draw,lost,goals_scored,goals_conceded,goals_difference
Poland,Poland Ekstraklasa,2014/2015,Polonia Bytom,30,43,11,10,9,43,43,0
Poland,Poland Ekstraklasa,2014/2015,Pogoń Szczecin,30,41,11,8,11,40,38,2
Poland,Poland Ekstraklasa,2014/2015,Lechia Gdańsk,30,41,11,8,11,36,37,-1
Poland,Poland Ekstraklasa,2014/2015,Piast Gliwice,30,39,11,6,13,38,43,-5
Poland,Poland Ekstraklasa,2014/2015,Korona Kielce,30,39,10,9,11,34,42,-8
Poland,Poland Ekstraklasa,2014/2015,Podbeskidzie Bielsko-Biała,30,39,10,9,11,40,48,-8
Poland,Poland Ekstraklasa,2014/2015,Cracovia,30,37,10,7,13,35,41,-6
Poland,Poland Ekstraklasa,2014/2015,Górnik Łęczna,30,34,8,10,12,31,37,-6
Poland,Poland Ekstraklasa,2014/2015,Ruch Chorzów,30,33,8,9,13,33,38,-5
Poland,Poland Ekstraklasa,2014/2015,GKS Bełchatów,30,31,8,7,15,24,42,-18
Poland,Poland Ekstraklasa,2014/2015,Zawisza Bydgoszcz,30,29,8,5,17,32,52,-20
Poland,Poland Ekstraklasa,2013/2014,Legia Warszawa,30,63,20,3,7,60,30,30
Poland,Poland Ekstraklasa,2013/2014,Lech Poznań,30,53,15,8,7,56,34,22
Poland,Poland Ekstraklasa,2013/2014,Ruch Chorzów,30,50,14,8,8,40,38,2
Poland,Poland Ekstraklasa,2013/2014,Pogoń Szczecin,30,47,11,14,5,47,38,9
Poland,Poland Ekstraklasa,2013/2014,Wisła Kraków,30,45,12,9,9,38,30,8
Poland,Poland Ekstraklasa,2013/2014,Zawisza Bydgoszcz,30,42,11,9,10,43,37,6
Poland,Poland Ekstraklasa,2013/2014,Polonia Bytom,30,42,11,9,10,42,46,-4
Poland,Poland Ekstraklasa,2013/2014,Lechia Gdańsk,30,40,10,10,10,38,37,1
Poland,Poland Ekstraklasa,2013/2014,Jagiellonia Białystok,30,39,10,9,11,46,43,3
Poland,Poland Ekstraklasa,2013/2014,Cracovia,30,39,11,6,13,37,43,-6
Poland,Poland Ekstraklasa,2013/2014,Korona Kielce,30,37,9,10,11,36,41,-5
Poland,Poland Ekstraklasa,2013/2014,Śląsk Wrocław,30,34,7,13,10,38,40,-2
Poland,Poland Ekstraklasa,2013/2014,Piast Gliwice,30,34,8,10,12,29,47,-18
Poland,Poland Ekstraklasa,2013/2014,Podbeskidzie Bielsko-Biała,30,31,6,13,11,27,39,-12
Poland,Poland Ekstraklasa,2013/2014,Zagłębie Lubin,30,29,7,8,15,31,40,-9
Poland,Poland Ekstraklasa,2013/2014,Widzew Łódź,30,22,5,7,18,26,51,-25
Poland,Poland Ekstraklasa,2012/2013,Legia Warszawa,30,67,20,7,3,59,22,37
Poland,Poland Ekstraklasa,2012/2013,Lech Poznań,30,61,19,4,7,46,22,24
Poland,Poland Ekstraklasa,2012/2013,Śląsk Wrocław,30,47,13,8,9,44,42,2
Poland,Poland Ekstraklasa,2012/2013,Piast Gliwice,30,46,13,7,10,41,41,0
Poland,Poland Ekstraklasa,2012/2013,Polonia Bytom,30,43,12,7,11,35,31,4
Poland,Poland Ekstraklasa,2012/2013,P. Warszawa,30,42,11,9,10,45,34,11
Poland,Poland Ekstraklasa,2012/2013,Zagłębie Lubin,30,40,11,7,12,38,37,1
Poland,Poland Ekstraklasa,2012/2013,Lechia Gdańsk,30,38,10,8,12,42,43,-1
Poland,Poland Ekstraklasa,2012/2013,Wisła Kraków,30,38,10,8,12,28,35,-7
Poland,Poland Ekstraklasa,2012/2013,Jagiellonia Białystok,30,37,8,13,9,31,45,-14
Poland,Poland Ekstraklasa,2012/2013,Korona Kielce,30,36,9,9,12,32,37,-5
Poland,Poland Ekstraklasa,2012/2013,Pogoń Szczecin,30,35,10,5,15,29,39,-10
Poland,Poland Ekstraklasa,2012/2013,Widzew Łódź,30,33,8,9,13,30,41,-11
Poland,Poland Ekstraklasa,2012/2013,Podbeskidzie Bielsko-Biała,30,32,8,8,14,39,43,-4
Poland,Poland Ekstraklasa,2012/2013,Ruch Chorzów,30,31,8,7,15,35,48,-13
Poland,Poland Ekstraklasa,2012/2013,GKS Bełchatów,30,31,7,10,13,24,38,-14
Poland,Poland Ekstraklasa,2011/2012,Widzew Łódź,60,63,14,21,25,48,79,-31
Poland,Poland Ekstraklasa,2011/2012,Śląsk Wrocław,30,56,17,5,8,47,31,16
Poland,Poland Ekstraklasa,2011/2012,Ruch Chorzów,30,55,16,7,7,44,28,16
Poland,Poland Ekstraklasa,2011/2012,Legia Warszawa,30,53,15,8,7,42,17,25
Poland,Poland Ekstraklasa,2011/2012,Lech Poznań,30,52,15,7,8,42,22,20
Poland,Poland Ekstraklasa,2011/2012,Korona Kielce,30,48,13,9,8,34,29,5
Poland,Poland Ekstraklasa,2011/2012,P. Warszawa,30,45,13,6,11,33,32,1
Poland,Poland Ekstraklasa,2011/2012,Wisła Kraków,30,43,12,7,11,29,26,3
Poland,Poland Ekstraklasa,2011/2012,Polonia Bytom,30,42,11,9,10,36,30,6
Poland,Poland Ekstraklasa,2011/2012,Zagłębie Lubin,30,40,11,7,12,36,42,-6
Poland,Poland Ekstraklasa,2011/2012,Jagiellonia Białystok,30,39,11,6,13,35,45,-10
Poland,Poland Ekstraklasa,2011/2012,Podbeskidzie Bielsko-Biała,30,35,9,8,13,26,39,-13
Poland,Poland Ekstraklasa,2011/2012,GKS Bełchatów,30,31,7,10,13,34,36,-2
Poland,Poland Ekstraklasa,2011/2012,Lechia Gdańsk,30,31,7,10,13,21,30,-9
Poland,Poland Ekstraklasa,2011/2012,Cracovia,30,22,4,10,16,20,41,-21
Poland,Poland Ekstraklasa,2010/2011,Polonia Bytom,60,72,19,15,26,65,85,-20
Poland,Poland Ekstraklasa,2010/2011,Wisła Kraków,30,56,17,5,8,44,29,15
Poland,Poland Ekstraklasa,2010/2011,Śląsk Wrocław,30,49,13,10,7,46,34,12
Poland,Poland Ekstraklasa,2010/2011,Legia Warszawa,30,49,15,4,11,45,38,7
Poland,Poland Ekstraklasa,2010/2011,Jagiellonia Białystok,30,48,14,6,10,38,32,6
Poland,Poland Ekstraklasa,2010/2011,Lech Poznań,30,45,13,6,11,37,23,14
Poland,Poland Ekstraklasa,2010/2011,P. Warszawa,30,44,12,8,10,41,26,15
Poland,Poland Ekstraklasa,2010/2011,Widzew Łódź,30,43,11,10,9,41,34,7
Poland,Poland Ekstraklasa,2010/2011,Lechia Gdańsk,30,43,12,7,11,37,36,1
Poland,Poland Ekstraklasa,2010/2011,GKS Bełchatów,30,40,10,10,10,31,33,-2
Poland,Poland Ekstraklasa,2010/2011,Zagłębie Lubin,30,39,10,9,11,31,38,-7
Poland,Poland Ekstraklasa,2010/2011,Ruch Chorzów,30,38,10,8,12,29,32,-3
Poland,Poland Ekstraklasa,2010/2011,Korona Kielce,30,37,10,7,13,34,48,-14
Poland,Poland Ekstraklasa,2010/2011,Cracovia,30,29,8,5,17,37,47,-10
Poland,Poland Ekstraklasa,2010/2011,Arka Gdynia,30,28,6,10,14,22,43,-21
Poland,Poland Ekstraklasa,2009/2010,Lech Poznań,30,65,19,8,3,51,20,31
Poland,Poland Ekstraklasa,2009/2010,Wisła Kraków,30,62,19,5,6,48,20,28
Poland,Poland Ekstraklasa,2009/2010,Ruch Chorzów,30,53,16,5,9,40,30,10
Poland,Poland Ekstraklasa,2009/2010,Legia Warszawa,30,52,15,7,8,36,22,14
Poland,Poland Ekstraklasa,2009/2010,GKS Bełchatów,30,48,13,9,8,37,27,10
Poland,Poland Ekstraklasa,2009/2010,Jagiellonia Białystok,30,44,11,11,8,29,27,2
Poland,Poland Ekstraklasa,2009/2010,Lechia Gdańsk,30,37,9,10,11,30,32,-2
Poland,Poland Ekstraklasa,2009/2010,Polonia Bytom,30,37,9,10,11,29,31,-2
Poland,Poland Ekstraklasa,2009/2010,Korona Kielce,30,37,9,10,11,35,41,-6
Poland,Poland Ekstraklasa,2009/2010,Śląsk Wrocław,30,36,8,12,10,32,33,-1
Poland,Poland Ekstraklasa,2009/2010,Zagłębie Lubin,30,35,8,11,11,30,38,-8
Poland,Poland Ekstraklasa,2009/2010,Cracovia,30,34,9,7,14,25,39,-14
Poland,Poland Ekstraklasa,2009/2010,P. Warszawa,30,33,9,6,15,25,38,-13
Poland,Poland Ekstraklasa,2009/2010,Arka Gdynia,30,28,7,7,16,28,39,-11
Poland,Poland Ekstraklasa,2009/2010,Odra Wodzisław,30,27,7,6,17,27,45,-18
Poland,Poland Ekstraklasa,2009/2010,Piast Gliwice,30,27,7,6,17,30,50,-20
Poland,Poland Ekstraklasa,2008/2009,Wisła Kraków,30,64,19,7,4,53,21,32
Poland,Poland Ekstraklasa,2008/2009,Polonia Bytom,60,64,17,13,30,50,79,-29
Poland,Poland Ekstraklasa,2008/2009,Legia Warszawa,30,61,18,7,5,52,17,35
Poland,Poland Ekstraklasa,2008/2009,Lech Poznań,30,59,16,11,3,51,24,27
Poland,Poland Ekstraklasa,2008/2009,P. Warszawa,30,54,15,9,6,40,23,17
Poland,Poland Ekstraklasa,2008/2009,GKS Bełchatów,30,54,17,3,10,40,28,12
Poland,Poland Ekstraklasa,2008/2009,Śląsk Wrocław,30,45,11,12,7,40,34,6
Poland,Poland Ekstraklasa,2008/2009,Widzew Łódź,30,35,10,5,15,27,43,-16
Poland,Poland Ekstraklasa,2008/2009,Jagiellonia Białystok,30,34,9,7,14,28,34,-6
Poland,Poland Ekstraklasa,2008/2009,Ruch Chorzów,30,34,9,7,14,22,32,-10
Poland,Poland Ekstraklasa,2008/2009,Piast Gliwice,30,33,9,6,15,17,26,-9
Poland,Poland Ekstraklasa,2008/2009,Lechia Gdańsk,30,32,9,5,16,30,44,-14
Poland,Poland Ekstraklasa,2008/2009,Odra Wodzisław,30,32,8,8,14,23,40,-17
Poland,Poland Ekstraklasa,2008/2009,Arka Gdynia,30,30,7,9,14,27,39,-12
Poland,Poland Ekstraklasa,2008/2009,Cracovia,30,30,7,9,14,24,40,-16
Portugal,Portugal Liga ZON Sagres,2015/2016,SL Benfica,34,88,29,1,4,88,22,66
Portugal,Portugal Liga ZON Sagres,2015/2016,Sporting CP,34,86,27,5,2,79,21,58
Portugal,Portugal Liga ZON Sagres,2015/2016,FC Porto,34,73,23,4,7,67,30,37
Portugal,Portugal Liga ZON Sagres,2015/2016,SC Braga,34,58,16,10,8,54,35,19
Portugal,Portugal Liga ZON Sagres,2015/2016,FC Arouca,34,54,13,15,6,47,38,9
Portugal,Portugal Liga ZON Sagres,2015/2016,Rio Ave FC,34,50,14,8,12,44,44,0
Portugal,Portugal Liga ZON Sagres,2015/2016,FC Paços de Ferreira,34,49,13,10,11,43,42,1
Portugal,Portugal Liga ZON Sagres,2015/2016,Estoril Praia,34,47,13,8,13,40,41,-1
Portugal,Portugal Liga ZON Sagres,2015/2016,CF Os Belenenses,34,41,10,11,13,44,66,-22
Portugal,Portugal Liga ZON Sagres,2015/2016,Vitória Guimarães,34,40,9,13,12,45,53,-8
Portugal,Portugal Liga ZON Sagres,2015/2016,CD Nacional,34,38,10,8,16,40,56,-16
Portugal,Portugal Liga ZON Sagres,2015/2016,Moreirense FC,34,36,9,9,16,38,54,-16
Portugal,Portugal Liga ZON Sagres,2015/2016,CS Marítimo,34,35,10,5,19,45,63,-18
Portugal,Portugal Liga ZON Sagres,2015/2016,Boavista FC,34,33,8,9,17,24,41,-17
Portugal,Portugal Liga ZON Sagres,2015/2016,Tondela,34,30,8,6,20,34,54,-20
Portugal,Portugal Liga ZON Sagres,2015/2016,Vitória Setúbal,34,30,6,12,16,40,61,-21
Portugal,Portugal Liga ZON Sagres,2015/2016,Uniao da Madeira,34,29,7,8,19,27,50,-23
Portugal,Portugal Liga ZON Sagres,2015/2016,Académica de Coimbra,34,25,5,10,19,32,60,-28
Portugal,Portugal Liga ZON Sagres,2014/2015,SL Benfica,34,85,27,4,3,86,16,70
Portugal,Portugal Liga ZON Sagres,2014/2015,FC Porto,34,82,25,7,2,74,13,61
Portugal,Portugal Liga ZON Sagres,2014/2015,Sporting CP,34,76,22,10,2,67,29,38
Portugal,Portugal Liga ZON Sagres,2014/2015,SC Braga,34,58,17,7,10,55,28,27
Portugal,Portugal Liga ZON Sagres,2014/2015,Vitória Guimarães,34,55,15,10,9,50,35,15
Portugal,Portugal Liga ZON Sagres,2014/2015,CF Os Belenenses,34,48,12,12,10,34,35,-1
Portugal,Portugal Liga ZON Sagres,2014/2015,CD Nacional,34,47,13,8,13,45,46,-1
Portugal,Portugal Liga ZON Sagres,2014/2015,FC Paços de Ferreira,34,47,12,11,11,40,45,-5
Portugal,Portugal Liga ZON Sagres,2014/2015,CS Marítimo,34,44,12,8,14,46,45,1
Portugal,Portugal Liga ZON Sagres,2014/2015,Rio Ave FC,34,43,10,13,11,38,42,-4
Portugal,Portugal Liga ZON Sagres,2014/2015,Moreirense FC,34,43,11,10,13,33,42,-9
Portugal,Portugal Liga ZON Sagres,2014/2015,Estoril Praia,34,40,9,13,12,38,56,-18
Portugal,Portugal Liga ZON Sagres,2014/2015,Boavista FC,34,34,9,7,18,27,50,-23
Portugal,Portugal Liga ZON Sagres,2014/2015,Académica de Coimbra,34,29,4,17,13,26,46,-20
Portugal,Portugal Liga ZON Sagres,2014/2015,Vitória Setúbal,34,29,7,8,19,24,56,-32
Portugal,Portugal Liga ZON Sagres,2014/2015,FC Arouca,34,28,7,7,20,26,50,-24
Portugal,Portugal Liga ZON Sagres,2014/2015,Gil Vicente FC,34,23,4,11,19,25,60,-35
Portugal,Portugal Liga ZON Sagres,2014/2015,FC Penafiel,34,22,5,7,22,29,69,-40
Portugal,Portugal Liga ZON Sagres,2013/2014,SL Benfica,30,74,23,5,2,58,18,40
Portugal,Portugal Liga ZON Sagres,2013/2014,Sporting CP,30,67,20,7,3,54,20,34
Portugal,Portugal Liga ZON Sagres,2013/2014,FC Porto,30,61,19,4,7,57,25,32
Portugal,Portugal Liga ZON Sagres,2013/2014,Estoril Praia,30,54,15,9,6,42,26,16
Portugal,Portugal Liga ZON Sagres,2013/2014,CD Nacional,30,45,11,12,7,43,33,10
Portugal,Portugal Liga ZON Sagres,2013/2014,CS Marítimo,30,41,11,8,11,40,44,-4
Portugal,Portugal Liga ZON Sagres,2013/2014,Vitória Setúbal,30,39,10,9,11,41,41,0
Portugal,Portugal Liga ZON Sagres,2013/2014,SC Braga,30,37,10,7,13,39,37,2
Portugal,Portugal Liga ZON Sagres,2013/2014,Académica de Coimbra,30,37,9,10,11,25,35,-10
Portugal,Portugal Liga ZON Sagres,2013/2014,Vitória Guimarães,30,35,10,5,15,30,35,-5
Portugal,Portugal Liga ZON Sagres,2013/2014,Rio Ave FC,30,32,8,8,14,21,35,-14
Portugal,Portugal Liga ZON Sagres,2013/2014,FC Arouca,30,31,8,7,15,28,42,-14
Portugal,Portugal Liga ZON Sagres,2013/2014,Gil Vicente FC,30,31,8,7,15,23,37,-14
Portugal,Portugal Liga ZON Sagres,2013/2014,CF Os Belenenses,30,28,6,10,14,19,33,-14
Portugal,Portugal Liga ZON Sagres,2013/2014,S.C. Olhanense,30,24,6,6,18,21,49,-28
Portugal,Portugal Liga ZON Sagres,2013/2014,FC Paços de Ferreira,30,24,6,6,18,28,59,-31
Portugal,Portugal Liga ZON Sagres,2012/2013,FC Porto,30,78,24,6,0,70,14,56
Portugal,Portugal Liga ZON Sagres,2012/2013,SL Benfica,30,77,24,5,1,77,20,57
Portugal,Portugal Liga ZON Sagres,2012/2013,FC Paços de Ferreira,30,54,14,12,4,42,29,13
Portugal,Portugal Liga ZON Sagres,2012/2013,SC Braga,30,52,16,4,10,60,44,16
Portugal,Portugal Liga ZON Sagres,2012/2013,Estoril Praia,30,45,13,6,11,47,37,10
Portugal,Portugal Liga ZON Sagres,2012/2013,Sporting CP,30,42,11,9,10,36,36,0
Portugal,Portugal Liga ZON Sagres,2012/2013,Rio Ave FC,30,42,12,6,12,35,42,-7
Portugal,Portugal Liga ZON Sagres,2012/2013,CD Nacional,30,40,11,7,12,45,51,-6
Portugal,Portugal Liga ZON Sagres,2012/2013,Vitória Guimarães,30,40,11,7,12,36,47,-11
Portugal,Portugal Liga ZON Sagres,2012/2013,CS Marítimo,30,38,9,11,10,34,45,-11
Portugal,Portugal Liga ZON Sagres,2012/2013,Académica de Coimbra,30,28,6,10,14,33,45,-12
Portugal,Portugal Liga ZON Sagres,2012/2013,Vitória Setúbal,30,26,7,5,18,30,55,-25
Portugal,Portugal Liga ZON Sagres,2012/2013,S.C. Olhanense,30,25,5,10,15,26,42,-16
Portugal,Portugal Liga ZON Sagres,2012/2013,Gil Vicente FC,30,25,6,7,17,31,54,-23
Portugal,Portugal Liga ZON Sagres,2012/2013,Moreirense FC,30,24,5,9,16,30,51,-21
Portugal,Portugal Liga ZON Sagres,2012/2013,SC Beira Mar,30,23,5,8,17,35,55,-20
Portugal,Portugal Liga ZON Sagres,2011/2012,FC Porto,30,75,23,6,1,69,19,50
Portugal,Portugal Liga ZON Sagres,2011/2012,SL Benfica,30,69,21,6,3,66,27,39
Portugal,Portugal Liga ZON Sagres,2011/2012,SC Braga,30,62,19,5,6,59,29,30
Portugal,Portugal Liga ZON Sagres,2011/2012,Sporting CP,30,59,18,5,7,47,26,21
Portugal,Portugal Liga ZON Sagres,2011/2012,CS Marítimo,30,50,14,8,8,41,38,3
Portugal,Portugal Liga ZON Sagres,2011/2012,Vitória Guimarães,30,45,14,3,13,40,40,0
Portugal,Portugal Liga ZON Sagres,2011/2012,CD Nacional,30,44,13,5,12,48,50,-2
Portugal,Portugal Liga ZON Sagres,2011/2012,S.C. Olhanense,30,39,9,12,9,36,38,-2
Portugal,Portugal Liga ZON Sagres,2011/2012,Gil Vicente FC,30,34,8,10,12,31,42,-11
Portugal,Portugal Liga ZON Sagres,2011/2012,FC Paços de Ferreira,30,31,8,7,15,35,53,-18
Portugal,Portugal Liga ZON Sagres,2011/2012,Vitória Setúbal,30,30,8,6,16,24,49,-25
Portugal,Portugal Liga ZON Sagres,2011/2012,Académica de Coimbra,30,29,7,8,15,27,38,-11
Portugal,Portugal Liga ZON Sagres,2011/2012,SC Beira Mar,30,29,8,5,17,26,38,-12
Portugal,Portugal Liga ZON Sagres,2011/2012,Rio Ave FC,30,28,7,7,16,33,42,-9
Portugal,Portugal Liga ZON Sagres,2011/2012,Feirense,30,24,5,9,16,27,49,-22
Portugal,Portugal Liga ZON Sagres,2011/2012,"União de Leiria, SAD",30,19,5,4,21,25,56,-31
Portugal,Portugal Liga ZON Sagres,2010/2011,FC Porto,30,84,27,3,0,73,16,57
Portugal,Portugal Liga ZON Sagres,2010/2011,SL Benfica,30,63,20,3,7,61,31,30
Portugal,Portugal Liga ZON Sagres,2010/2011,Sporting CP,30,48,13,9,8,41,31,10
Portugal,Portugal Liga ZON Sagres,2010/2011,SC Braga,30,46,13,7,10,45,33,12
Portugal,Portugal Liga ZON Sagres,2010/2011,Vitória Guimarães,30,43,12,7,11,36,37,-1
Portugal,Portugal Liga ZON Sagres,2010/2011,CD Nacional,30,42,11,9,10,28,31,-3
Portugal,Portugal Liga ZON Sagres,2010/2011,FC Paços de Ferreira,30,41,10,11,9,35,42,-7
Portugal,Portugal Liga ZON Sagres,2010/2011,Rio Ave FC,30,38,10,8,12,35,33,2
Portugal,Portugal Liga ZON Sagres,2010/2011,CS Marítimo,30,35,9,8,13,33,32,1
Portugal,Portugal Liga ZON Sagres,2010/2011,"União de Leiria, SAD",30,35,9,8,13,25,38,-13
Portugal,Portugal Liga ZON Sagres,2010/2011,S.C. Olhanense,30,34,7,13,10,24,34,-10
Portugal,Portugal Liga ZON Sagres,2010/2011,Vitória Setúbal,30,34,8,10,12,29,42,-13
Portugal,Portugal Liga ZON Sagres,2010/2011,SC Beira Mar,30,33,7,12,11,32,36,-4
Portugal,Portugal Liga ZON Sagres,2010/2011,Académica de Coimbra,30,30,7,9,14,32,48,-16
Portugal,Portugal Liga ZON Sagres,2010/2011,Portimonense,30,25,6,7,17,29,49,-20
Portugal,Portugal Liga ZON Sagres,2010/2011,Naval 1° de Maio,30,23,5,8,17,26,51,-25
Portugal,Portugal Liga ZON Sagres,2009/2010,SL Benfica,30,76,24,4,2,78,20,58
Portugal,Portugal Liga ZON Sagres,2009/2010,SC Braga,30,71,22,5,3,48,20,28
Portugal,Portugal Liga ZON Sagres,2009/2010,FC Porto,30,68,21,5,4,70,26,44
Portugal,Portugal Liga ZON Sagres,2009/2010,Sporting CP,30,48,13,9,8,42,26,16
Portugal,Portugal Liga ZON Sagres,2009/2010,CS Marítimo,30,41,11,8,11,42,43,-1
Portugal,Portugal Liga ZON Sagres,2009/2010,Vitória Guimarães,30,41,11,8,11,31,34,-3
Portugal,Portugal Liga ZON Sagres,2009/2010,CD Nacional,30,39,10,9,11,36,46,-10
Portugal,Portugal Liga ZON Sagres,2009/2010,Naval 1° de Maio,30,36,10,6,14,20,35,-15
Portugal,Portugal Liga ZON Sagres,2009/2010,FC Paços de Ferreira,30,35,8,11,11,32,37,-5
Portugal,Portugal Liga ZON Sagres,2009/2010,"União de Leiria, SAD",30,35,9,8,13,35,41,-6
Portugal,Portugal Liga ZON Sagres,2009/2010,Académica de Coimbra,30,33,8,9,13,37,42,-5
Portugal,Portugal Liga ZON Sagres,2009/2010,Rio Ave FC,30,31,6,13,11,22,33,-11
Portugal,Portugal Liga ZON Sagres,2009/2010,S.C. Olhanense,30,29,5,14,11,31,46,-15
Portugal,Portugal Liga ZON Sagres,2009/2010,Vitória Setúbal,30,25,5,10,15,29,57,-28
Portugal,Portugal Liga ZON Sagres,2009/2010,CF Os Belenenses,30,23,4,11,15,23,44,-21
Portugal,Portugal Liga ZON Sagres,2009/2010,Leixões SC,30,21,5,6,19,25,51,-26
Portugal,Portugal Liga ZON Sagres,2008/2009,FC Porto,30,70,21,7,2,61,18,43
Portugal,Portugal Liga ZON Sagres,2008/2009,Sporting CP,30,66,20,6,4,45,20,25
Portugal,Portugal Liga ZON Sagres,2008/2009,SL Benfica,30,59,17,8,5,54,32,22
Portugal,Portugal Liga ZON Sagres,2008/2009,CD Nacional,30,52,15,7,8,47,32,15
Portugal,Portugal Liga ZON Sagres,2008/2009,SC Braga,30,50,13,11,6,38,21,17
Portugal,Portugal Liga ZON Sagres,2008/2009,Leixões SC,30,45,12,9,9,30,31,-1
Portugal,Portugal Liga ZON Sagres,2008/2009,Académica de Coimbra,30,39,10,9,11,28,32,-4
Portugal,Portugal Liga ZON Sagres,2008/2009,Vitória Guimarães,30,38,10,8,12,32,36,-4
Portugal,Portugal Liga ZON Sagres,2008/2009,CS Marítimo,30,37,9,10,11,35,36,-1
Portugal,Portugal Liga ZON Sagres,2008/2009,FC Paços de Ferreira,30,34,9,7,14,37,42,-5
Portugal,Portugal Liga ZON Sagres,2008/2009,Amadora,30,34,8,10,12,26,38,-12
Portugal,Portugal Liga ZON Sagres,2008/2009,Rio Ave FC,30,30,8,6,16,20,35,-15
Portugal,Portugal Liga ZON Sagres,2008/2009,Naval 1° de Maio,30,29,7,8,15,25,39,-14
Portugal,Portugal Liga ZON Sagres,2008/2009,Vitória Setúbal,30,26,7,5,18,21,46,-25
Portugal,Portugal Liga ZON Sagres,2008/2009,CF Os Belenenses,30,24,5,9,16,28,52,-24
Portugal,Portugal Liga ZON Sagres,2008/2009,Trofense,30,23,5,8,17,25,42,-17
Scotland,Scotland Premier League,2015/2016,Celtic,38,86,26,8,4,93,31,62
Scotland,Scotland Premier League,2015/2016,Aberdeen,38,71,22,5,11,62,48,14
Scotland,Scotland Premier League,2015/2016,Heart of Midlothian,38,65,18,11,9,59,40,19
Scotland,Scotland Premier League,2015/2016,St. Johnstone FC,38,56,16,8,14,58,55,3
Scotland,Scotland Premier League,2015/2016,Inverness Caledonian Thistle,38,52,14,10,14,54,48,6
Scotland,Scotland Premier League,2015/2016,Motherwell,38,50,15,5,18,47,63,-16
Scotland,Scotland Premier League,2015/2016,Dundee FC,38,48,11,15,12,53,57,-4
Scotland,Scotland Premier League,2015/2016,Ross County FC,38,48,14,6,18,55,61,-6
Scotland,Scotland Premier League,2015/2016,Partick Thistle F.C.,38,46,12,10,16,41,50,-9
Scotland,Scotland Premier League,2015/2016,Hamilton Academical FC,38,43,11,10,17,42,63,-21
Scotland,Scotland Premier League,2015/2016,Kilmarnock,38,36,9,9,20,41,64,-23
Scotland,Scotland Premier League,2015/2016,Dundee United,38,31,8,7,23,45,70,-25
Scotland,Scotland Premier League,2014/2015,Celtic,38,92,29,5,4,84,17,67
Scotland,Scotland Premier League,2014/2015,Aberdeen,38,75,23,6,9,57,33,24
Scotland,Scotland Premier League,2014/2015,Inverness Caledonian Thistle,38,65,19,8,11,52,42,10
Scotland,Scotland Premier League,2014/2015,St. Johnstone FC,38,57,16,9,13,34,34,0
Scotland,Scotland Premier League,2014/2015,Dundee United,38,56,17,5,16,58,56,2
Scotland,Scotland Premier League,2014/2015,Hamilton Academical FC,38,53,15,8,15,50,53,-3
Scotland,Scotland Premier League,2014/2015,Partick Thistle F.C.,38,46,12,10,16,48,44,4
Scotland,Scotland Premier League,2014/2015,Dundee FC,38,45,11,12,15,46,57,-11
Scotland,Scotland Premier League,2014/2015,Ross County FC,38,44,12,8,18,46,63,-17
Scotland,Scotland Premier League,2014/2015,Kilmarnock,38,41,11,8,19,44,59,-15
Scotland,Scotland Premier League,2014/2015,Motherwell,38,36,10,6,22,38,63,-25
Scotland,Scotland Premier League,2014/2015,St. Mirren,38,30,9,3,26,30,66,-36
Scotland,Scotland Premier League,2013/2014,Celtic,38,99,31,6,1,102,25,77
Scotland,Scotland Premier League,2013/2014,Motherwell,38,70,22,4,12,64,60,4
Scotland,Scotland Premier League,2013/2014,Aberdeen,38,68,20,8,10,53,38,15
Scotland,Scotland Premier League,2013/2014,Dundee United,38,58,16,10,12,65,50,15
Scotland,Scotland Premier League,2013/2014,Inverness Caledonian Thistle,38,57,16,9,13,44,44,0
Scotland,Scotland Premier League,2013/2014,St. Johnstone FC,38,53,15,8,15,48,42,6
Scotland,Scotland Premier League,2013/2014,Ross County FC,38,40,11,7,20,44,62,-18
Scotland,Scotland Premier League,2013/2014,St. Mirren,38,39,10,9,19,39,58,-19
Scotland,Scotland Premier League,2013/2014,Kilmarnock,38,39,11,6,21,45,66,-21
Scotland,Scotland Premier League,2013/2014,Partick Thistle F.C.,38,38,8,14,16,46,65,-19
Scotland,Scotland Premier League,2013/2014,Heart of Midlothian,38,38,10,8,20,45,65,-20
Scotland,Scotland Premier League,2013/2014,Hibernian,38,35,8,11,19,31,51,-20
Scotland,Scotland Premier League,2012/2013,Celtic,38,79,24,7,7,92,35,57
Scotland,Scotland Premier League,2012/2013,Motherwell,38,63,18,9,11,67,51,16
Scotland,Scotland Premier League,2012/2013,St. Johnstone FC,38,56,14,14,10,45,44,1
Scotland,Scotland Premier League,2012/2013,Inverness Caledonian Thistle,38,54,13,15,10,64,60,4
Scotland,Scotland Premier League,2012/2013,Ross County FC,38,53,13,14,11,47,48,-1
Scotland,Scotland Premier League,2012/2013,Hibernian,38,51,13,12,13,49,52,-3
Scotland,Scotland Premier League,2012/2013,Aberdeen,38,48,11,15,12,41,43,-2
Scotland,Scotland Premier League,2012/2013,Dundee United,38,47,11,14,13,51,62,-11
Scotland,Scotland Premier League,2012/2013,Kilmarnock,38,45,11,12,15,52,53,-1
Scotland,Scotland Premier League,2012/2013,Heart of Midlothian,38,44,11,11,16,40,49,-9
Scotland,Scotland Premier League,2012/2013,St. Mirren,38,41,9,14,15,47,60,-13
Scotland,Scotland Premier League,2012/2013,Dundee FC,38,30,7,9,22,28,66,-38
